Symbol	Name
SU.TO	Suncor Energy Inc.
CNQ.TO	Canadian Natural Resources Limited
RCI-B.TO	Rogers Communications Inc.
CPG.TO	Crescent Point Energy Corp.
MFC.TO	Manulife Financial Corporation
BNS.TO	The Bank of Nova Scotia
SLF.TO	Sun Life Fianancial Inc.
CM.TO	Canadian Imperial Bank of Commerce
TD.TO	The Toronto-Dominion Bank
CVE.TO	Cenovus Energy Inc.
BN.TO	Brookfield Corporation
SHOP.TO	Shopify Inc.
ABX.TO	Barrick Gold Corporation
CNR.TO	Canadian National Railway Company
LUN.TO	Lundin Mining Corporation
BTE.TO	Baytex Energy Corp.
ENB.TO	Enbridge Inc.
NTR.TO	Nutrien Ltd.
K.TO	Kinross Gold Corporation
AQT.TO	Algonquin Power & Utilities Corp.
ARX.TO	Arc Resources Inc.
BCE.TO	BCE Inc.
TECK-B.TO	Teck Resources Limited
ATH.TO	Athabasca Oil Corporation
FM.TO	First Quantum Minerals Ltd.
T.TO	TELUS Corporation
BTO.TO	B2Gold Corp.
GWO.TO	Great-West Lifeco Inc.
NXE.TO	NexGen Energy Ltd.
CCO.TO	Camerco Corporation
NA.TO	National Bank of Canada
AC.TO	Air Canada
TOU.TO	Tourmaline Oil Corp.
TVE.TO	Tamarack Valley Energy Ltd.
DML.TO	Denison Mines Corp.
TCW.TO	Trican Well Service Ltd.
WEED.TO	Canopy Growth Corporation
BIR.TO	Birchcliff Energy Ltd.
BMO.TO	Bank of Montreal
WCP.TO	Whitecap Resources Inc.
AEM.TO	Agnico Eagle Mines Limited
QSR.TO	Restaurant Brands International Inc.
ATD.TO	Alimentation Couche-Tard Inc.
HUT.TO	Hut 8 Mining Corp.
CTS.TO	Converge Technology Solutions Corp.
BAM.TO	Brookfield Asset Management Ltd.
MEG.TO	MEG Energy Corp.
CJR-B.TO	Corus Entertainment Inc.
SPB.TO	Superior Plus Corp.
L.TO	Loblaw Companies Limited
AAB.TO	Aberdeen International Inc.
HWX.TO	Headwater Exploration Inc.
KEY.TO	Keyera Corp
CAE.TO	CAE Inc.
XLY.TO	Auxly Cannabis Group Inc.
CXB.TO	Calibre Mining Corp.
HBM.TO	Hudbay Minerals Inc.
FCU.TO	Fission Uranium Corp.
IMO.TO	Imperial Oil Limited
OSK.TO	Osisko Mining Inc.
VET.TO	Vermilion Energy Inc.
TLRY.TO	Tilray Brands, Inc.
ESM.TO	Euro Sun Mining Inc.
RY.TO	Royal Bank of Canada
BIR.TO	Birchcliff Energy Ltd.
LSPD.TO	Lightspeed Commerce Inc.
BCE.TO	BCE Inc.
BB.TO	BlackBerry Limited
PPL.TO	Pembina Pipeline Corporation
FTS.TO	Fortis Inc.
PLTR	Palantir Technologies Inc.
TSLA	Tesla, Inc.
F	Ford Motor Company
AFRM	Affirm Holdings, Inc.
AMZN	Amazon.com, Inc.
AMD	Advanced Micro Devices, Inc.
SOFI	SoFi Technologies, Inc.
NIO	NIO Inc.
CS	Credit Suisse Group AG
AAPL	Apple Inc.
NVDA	NVIDIA Corporation
AI	C3.ai, Inc.
PLUG	Plug Power Inc.
CCL	Carnival Corporation & plc
LCID	Lucid Group, Inc.
GOOGL	Alphabet Inc.
BAC	Bank of America Corporation
NU	Nu Holdings Ltd.
FISV	Fiserv, Inc.
MSFT	Microsoft Corporation
T	AT&T Inc.
U	Unity Software Inc.
PBR	Petróleo Brasileiro S.A. - Petrobras
DNA	Ginkgo Bioworks Holdings, Inc.
CVNA	Carvana Co.
IMO.TO	Imperial Oil Limited
BBD-B.TO	Bombardier Inc.
CS.TO	Capstone Copper Corp.
FVI.TO	Fortuna Silver Mines Inc.
FAF.TO	Fire & Flower Holdings Corp.
AGI.TO	Alamos Gold Inc.
RY-PH.TO	Royal Bank of Canada
TAIG.TO	Taiga Motors Corporation
OTEX.TO	Open Text Corporation
TRP.TO	TC Energy Corporation
BLDP.TO	Ballard Power Systems Inc
PIPE.TO	Pipestone Energy Corp.
SPB.TO	Superior Plus Corp.
CP.TO	Canadian Pacific Kansas City Limited
TOU.TO	Tourmaline Oil Corp.
AEM.TO	Agnico Eagle Mines Limited
AIM.TO	Aimia Inc.
ANRG.TO	Anaergia Inc.
NA.TO	National Bank of Canada
H.TO	Hydro One Limited
NUMI.TO	Numinus Wellness Inc.
CXB.TO	Calibre Mining Corp.
ACB.TO	Aurora Cannabis Inc.
AR.TO	Argonaut Gold Inc.
HBM.TO	Hudbay Minerals Inc.
MPVD.TO	Mountain Province Diamonds Inc.
KNT.TO	K92 Mining Inc.
NXE.TO	NexGen Energy Ltd.
AAV.TO	Advantage Energy Ltd.
IMG.TO	IAMGOLD Corporation
PPR.TO	Prairie Provident Resources Inc.
TRP-PE.TO	TC Energy Corp
PEY.TO	Peyto Exploration & Development Corp.
ELD.TO	Eldorado Gold Corporation
FR.TO	First Majestic Silver Corp.
TRP-PD.TO	TC Energy Corp
ATD.TO	Alimentation Couche-Tard Inc.
